college,college_name
5536,Mangayarkarasi College of Engineering
5703,Christian College of Engineering and Technology - Dindigul
5720,Sri Subramanya College of Engineering and Technology - Dindigul
5832,N.P.R. College of Engineering and Technology - Dindigul (Dist)
5842,Madurai Institute of Engineering and Technology - [Sivaganga(Dist)]
5851,Pannaikadu Veerammal Paramasivam College of Engg. and Tech. for women -Dindigul(Dist)
5862,R.V.S. School of Engineering and Technology- Dindigul (Dist)
5865,"Nadar Saraswathi College of Engineering & Technology, Theni"
5901,"A.C. College of Engineering and Technology (Autonomous) - Karaikudi, [Sivaganga (Dist)]"
5902,Bharath Niketan Engineering College - Theni
5903,K.L.N. College of Information Technology - Sivagangai(Dist)
5904,K.L.N. College of Engineering - Sivagangai(Dist)
5907,Mohamed Sathak Engineering College - Ramanathapuram
5910,PSNA College of Engineering and Technology - Dindigul
5911,P.T.R.College of Engineering and Technology - Madurai
5912,Pandian Saraswathi Yadav Engineering College - Sivagangai
5913,R.V.S.College of Engineering and Technology - Dindigul
5914,Raja College of Engineering and Technology - Madurai
5915,SACS M.A.V.M.M Engineering College - Madurai
5919,St. Michael College of Engineering and Technology - Sivagangai
5921,Syed Ammal Engineering College - Ramanathapuram
5922,Vickram College of Engineering - Madurai
5924,"Ganapathy Chettiar College of Engineering and Technology - Paramakudi,Ramanathapuram (Dist)"
5930,SBM College of Engineering and Technology -Dindigul(Dist)
5935,Fatima Michael College of Engineering and Technology -Madurai(Dist)
5942,Ultra College of Engineering and Technology For Women -Madurai(Dist)
5986,Velammal College of Engineering and Technology - Madurai
5988,Theni Kammavar Sangam College of Technology - Theni
5990,Latha Mathavan Engineering College - Madurai
